area_name,rank,industry_code,industry_name,worker_count,worker_ratio,lq
pangyo_1st_technovalley,1,5,"수도, 하수 및 폐기물 처리, 원료 재생업",16.91424030843198,0.00032176294338771605,1.4838352380727435
pangyo_1st_technovalley,2,10,정보통신업,23488.585189200945,0.44682800815610757,1.450954533130501
pangyo_1st_technovalley,3,3,제조업,2388.994092909901,0.04544630778878991,1.3227200041918203
pangyo_1st_technovalley,4,13,"전문, 과학 및 기술 서비스업",10235.267901527512,0.19470752846733136,1.2808049995522242
pangyo_1st_technovalley,5,14,"사업시설 관리, 사업 지원 및 임대 서비스업",7145.3483789720185,0.1359273774065126,1.1956033731396294
wirye_plan_area,1,1,"농업, 임업 및 어업",10.0,0.0003911320508560301,3.0560793703757807
wirye_plan_area,2,16,교육 서비스업,3746.2906519674543,0.14652943458068046,3.005328733177723
wirye_plan_area,3,8,운수 및 창고업,1953.898278572816,0.07642322408622523,2.936965728296897
wirye_plan_area,4,17,보건업 및 사회복지 서비스업,3297.945134442412,0.12899320440451265,2.647495143931921
wirye_plan_area,5,18,"예술, 스포츠 및 여가관련 서비스업",545.7975363700127,0.021347890975257175,2.6290221970160137
