metric,value
pangyo_zoning_lum_old_2026,0.2855777139873423
pangyo_zoning_lum_new_2024,0.2855777139866326
wirye_zoning_lum_old_2026,0.6332330292783735
wirye_zoning_lum_new_2024,0.6598515354899477
pangyo_coverage_old_2026,1.0000000000000095
pangyo_coverage_new_2024,1.0000000000000029
wirye_coverage_old_2026,0.793342436280802
wirye_coverage_new_2024,0.9996342423272578
wirye_2024_01_area_sqm,4177749.5896303235
wirye_2024_02_gap_fill_area_sqm,3921941.3692704816
wirye_missing_area_sqm,2471.744091595523
